"longitude (degree: E+, W-)","latitude (degree: N+, S-)",Level 3p (pieces/km2),Level 3w1 (g/km2),Level 3w2 (g/km2)
,,-9999: No data,,
-77.5,-75,-9999,-9999,-9999
-72.5,-75,-9999,-9999,-9999
-67.5,-75,-9999,-9999,-9999
-62.5,-75,-9999,-9999,-9999
-57.5,-75,-9999,-9999,-9999
-52.5,-75,-9999,-9999,-9999
-47.5,-75,-9999,-9999,-9999
-42.5,-75,-9999,-9999,-9999
-37.5,-75,-9999,-9999,-9999
-32.5,-75,-9999,-9999,-9999
-27.5,-75,-9999,-9999,-9999
-22.5,-75,-9999,-9999,-9999
-17.5,-75,-9999,-9999,-9999
-12.5,-75,-9999,-9999,-9999
-7.5,-75,-9999,-9999,-9999
-2.5,-75,-9999,-9999,-9999
2.5,-75,-9999,-9999,-9999
7.5,-75,-9999,-9999,-9999
12.5,-75,-9999,-9999,-9999
17.5,-75,-9999,-9999,-9999
22.5,-75,-9999,-9999,-9999
27.5,-75,-9999,-9999,-9999
32.5,-75,-9999,-9999,-9999
37.5,-75,-9999,-9999,-9999
42.5,-75,-9999,-9999,-9999
47.5,-75,-9999,-9999,-9999
52.5,-75,-9999,-9999,-9999
57.5,-75,-9999,-9999,-9999
62.5,-75,-9999,-9999,-9999
67.5,-75,-9999,-9999,-9999
72.5,-75,-9999,-9999,-9999
77.5,-75,-9999,-9999,-9999
82.5,-75,-9999,-9999,-9999
87.5,-75,-9999,-9999,-9999
92.5,-75,-9999,-9999,-9999
97.5,-75,-9999,-9999,-9999
102.5,-75,-9999,-9999,-9999
107.5,-75,-9999,-9999,-9999
112.5,-75,-9999,-9999,-9999
117.5,-75,-9999,-9999,-9999
122.5,-75,-9999,-9999,-9999
127.5,-75,-9999,-9999,-9999
132.5,-75,-9999,-9999,-9999
137.5,-75,-9999,-9999,-9999
142.5,-75,-9999,-9999,-9999
147.5,-75,-9999,-9999,-9999
152.5,-75,-9999,-9999,-9999
157.5,-75,-9999,-9999,-9999
162.5,-75,-9999,-9999,-9999
167.5,-75,-9999,-9999,-9999
172.5,-75,-9999,-9999,-9999
177.5,-75,-9999,-9999,-9999
-177.5,-73,-9999,-9999,-9999
-172.5,-73,-9999,-9999,-9999
-167.5,-73,-9999,-9999,-9999
-162.5,-73,-9999,-9999,-9999
-157.5,-73,-9999,-9999,-9999
-152.5,-73,-9999,-9999,-9999
-147.5,-73,-9999,-9999,-9999
-142.5,-73,-9999,-9999,-9999
-137.5,-73,-9999,-9999,-9999
-132.5,-73,-9999,-9999,-9999
-127.5,-73,-9999,-9999,-9999
-122.5,-73,-9999,-9999,-9999
-117.5,-73,-9999,-9999,-9999
-112.5,-73,-9999,-9999,-9999
-107.5,-73,-9999,-9999,-9999
-102.5,-73,-9999,-9999,-9999
-97.5,-73,-9999,-9999,-9999
-92.5,-73,-9999,-9999,-9999
-87.5,-73,-9999,-9999,-9999
-82.5,-73,-9999,-9999,-9999
-77.5,-73,-9999,-9999,-9999
-72.5,-73,-9999,-9999,-9999
-67.5,-73,-9999,-9999,-9999
-62.5,-73,-9999,-9999,-9999
-57.5,-73,-9999,-9999,-9999
-52.5,-73,-9999,-9999,-9999
-47.5,-73,-9999,-9999,-9999
-42.5,-73,-9999,-9999,-9999
-37.5,-73,-9999,-9999,-9999
-32.5,-73,-9999,-9999,-9999
-27.5,-73,-9999,-9999,-9999
-22.5,-73,-9999,-9999,-9999
-17.5,-73,-9999,-9999,-9999
-12.5,-73,-9999,-9999,-9999
-7.5,-73,-9999,-9999,-9999
-2.5,-73,-9999,-9999,-9999
2.5,-73,-9999,-9999,-9999
7.5,-73,-9999,-9999,-9999
12.5,-73,-9999,-9999,-9999
17.5,-73,-9999,-9999,-9999
22.5,-73,-9999,-9999,-9999
27.5,-73,-9999,-9999,-9999
32.5,-73,-9999,-9999,-9999
37.5,-73,-9999,-9999,-9999
42.5,-73,-9999,-9999,-9999
47.5,-73,-9999,-9999,-9999
52.5,-73,-9999,-9999,-9999
57.5,-73,-9999,-9999,-9999
62.5,-73,-9999,-9999,-9999
67.5,-73,-9999,-9999,-9999
72.5,-73,-9999,-9999,-9999
77.5,-73,-9999,-9999,-9999
82.5,-73,-9999,-9999,-9999
87.5,-73,-9999,-9999,-9999
92.5,-73,-9999,-9999,-9999
97.5,-73,-9999,-9999,-9999
102.5,-73,-9999,-9999,-9999
107.5,-73,-9999,-9999,-9999
112.5,-73,-9999,-9999,-9999
117.5,-73,-9999,-9999,-9999
122.5,-73,-9999,-9999,-9999
127.5,-73,-9999,-9999,-9999
132.5,-73,-9999,-9999,-9999
137.5,-73,-9999,-9999,-9999
142.5,-73,-9999,-9999,-9999
147.5,-73,-9999,-9999,-9999
152.5,-73,-9999,-9999,-9999
157.5,-73,-9999,-9999,-9999
162.5,-73,-9999,-9999,-9999
167.5,-73,-9999,-9999,-9999
172.5,-73,-9999,-9999,-9999
177.5,-73,-9999,-9999,-9999
-177.5,-71,-9999,-9999,-9999
-172.5,-71,-9999,-9999,-9999
-167.5,-71,-9999,-9999,-9999
-162.5,-71,-9999,-9999,-9999
-157.5,-71,-9999,-9999,-9999
-152.5,-71,-9999,-9999,-9999
-147.5,-71,-9999,-9999,-9999
-142.5,-71,-9999,-9999,-9999
-137.5,-71,-9999,-9999,-9999
-132.5,-71,-9999,-9999,-9999
-127.5,-71,-9999,-9999,-9999
-122.5,-71,-9999,-9999,-9999
-117.5,-71,-9999,-9999,-9999
-112.5,-71,-9999,-9999,-9999
-107.5,-71,-9999,-9999,-9999
-102.5,-71,-9999,-9999,-9999
-97.5,-71,-9999,-9999,-9999
-92.5,-71,-9999,-9999,-9999
-87.5,-71,-9999,-9999,-9999
-82.5,-71,-9999,-9999,-9999
-77.5,-71,-9999,-9999,-9999
-72.5,-71,-9999,-9999,-9999
-67.5,-71,-9999,-9999,-9999
-62.5,-71,-9999,-9999,-9999
-57.5,-71,-9999,-9999,-9999
-52.5,-71,-9999,-9999,-9999
-47.5,-71,-9999,-9999,-9999
-42.5,-71,-9999,-9999,-9999
-37.5,-71,-9999,-9999,-9999
-32.5,-71,-9999,-9999,-9999
-27.5,-71,-9999,-9999,-9999
-22.5,-71,-9999,-9999,-9999
-17.5,-71,-9999,-9999,-9999
-12.5,-71,-9999,-9999,-9999
-7.5,-71,-9999,-9999,-9999
-2.5,-71,-9999,-9999,-9999
2.5,-71,-9999,-9999,-9999
7.5,-71,-9999,-9999,-9999
12.5,-71,-9999,-9999,-9999
17.5,-71,-9999,-9999,-9999
22.5,-71,-9999,-9999,-9999
27.5,-71,-9999,-9999,-9999
32.5,-71,-9999,-9999,-9999
37.5,-71,-9999,-9999,-9999
